sales_name;success_rate;information
Gina Mandasari;97.56;Sales Gina Mandasari berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 97.56%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 1, L2 = 4, L3 = 1 dan L4 = 8.
R.A. Rika Ramadan, S.Pt;97.56;Sales R.A. Rika Ramadan, S.Pt berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 97.56%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 1, L2 = 1, L3 = 3 dan L4 = 8.
Febi Rahayu;85.3;Sales Febi Rahayu berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 85.3%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 15, dengan rincian sebagai berikut: L1 = 3, L2 = 3, L3 = 2 dan L4 = 7.
Darimin Kuswoyo;85.36;Sales Darimin Kuswoyo berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 85.36%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 17, dengan rincian sebagai berikut: L1 = 1, L2 = 6, L3 = 3 dan L4 = 7.
Drs. Setya Pudjiastuti, S.Pd;85.33;Sales Drs. Setya Pudjiastuti, S.Pd berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 85.33%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 16, dengan rincian sebagai berikut: L1 = 2, L2 = 3, L3 = 4 dan L4 = 7.
Tgk. Najwa Nainggolan, S.Kom;85.3;Sales Tgk. Najwa Nainggolan, S.Kom berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 85.3%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 3, L2 = 2, L3 = 0 dan L4 = 7.
Wisnu Pradana;73.13;Sales Wisnu Pradana berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 73.13%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 2, L2 = 3, L3 = 0 dan L4 = 6.
Dr. Prakosa Wahyuni;73.0;Sales Dr. Prakosa Wahyuni berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 73.0%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 15, dengan rincian sebagai berikut: L1 = 6, L2 = 1, L3 = 2 dan L4 = 6.
Vivi Prasetya;73.2;Sales Vivi Prasetya berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 73.2%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 0, L2 = 3, L3 = 3 dan L4 = 6.
Purwanto Agustina;73.16;Sales Purwanto Agustina berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 73.16%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 1, L2 = 4, L3 = 3 dan L4 = 6.
Prayoga Irawan;73.0;Sales Prayoga Irawan berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 73.0%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 18, dengan rincian sebagai berikut: L1 = 6, L2 = 4, L3 = 2 dan L4 = 6.
Anita Tarihoran;73.16;Sales Anita Tarihoran berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 73.16%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 16, dengan rincian sebagai berikut: L1 = 1, L2 = 6, L3 = 3 dan L4 = 6.
Rafi Hutagalung, S.E.I;73.16;Sales Rafi Hutagalung, S.E.I berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 73.16%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 1, L2 = 5, L3 = 1 dan L4 = 6.
Vanya Kusmawati;73.16;Sales Vanya Kusmawati berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 73.16%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 1, L2 = 4, L3 = 3 dan L4 = 6.
